year,city,country,avg_temp
2001,Kabul,Afghanistan,15.85
2002,Kabul,Afghanistan,15.71
2003,Kabul,Afghanistan,15.13
2004,Kabul,Afghanistan,16.13
2005,Kabul,Afghanistan,14.85
2006,Kabul,Afghanistan,15.80
2007,Kabul,Afghanistan,15.52
2008,Kabul,Afghanistan,15.48
2009,Kabul,Afghanistan,15.09
2010,Kabul,Afghanistan,15.68
2011,Kabul,Afghanistan,15.81
2012,Kabul,Afghanistan,14.51
2013,Kabul,Afghanistan,16.21
